hotel,market_segment,distribution_channel,deposit_type,lead_time_band,bookings,cancellations,cancellation_rate,lost_revenue_estimate,average_lead_time,previous_cancellations,special_request_rate,risk_priority_score
City Hotel,Groups,TA/TO,Non Refund,6-12 months,2911,2911,1.0,626676.5,287.74132600480937,0.47818619031260734,0.0,74.15
City Hotel,Groups,TA/TO,Non Refund,12+ months,1466,1466,1.0,203016.19,460.79672578444746,0.10368349249658936,0.0,73.17
City Hotel,Offline TA/TO,TA/TO,Non Refund,6-12 months,1967,1966,0.9994916115912558,532040.6,268.2287747839349,0.26080325368581597,0.0,72.01
City Hotel,Offline TA/TO,TA/TO,Non Refund,12+ months,282,282,1.0,48700.0,428.5354609929078,0.14184397163120568,0.0,69.71
Resort Hotel,Groups,TA/TO,Non Refund,12+ months,97,97,1.0,27039.0,414.30927835051546,0.0,0.0,68.91
City Hotel,Groups,TA/TO,Non Refund,3-6 months,1699,1699,1.0,527676.14,138.4526191877575,0.13243084167157151,0.0,67.75
City Hotel,Offline TA/TO,TA/TO,Non Refund,3-6 months,1579,1579,1.0,473126.8,134.1120962634579,0.21469284357188093,0.0,66.75
Resort Hotel,Groups,TA/TO,Non Refund,6-12 months,369,368,0.997289972899729,95993.85,245.7940379403794,0.1978319783197832,0.0,64.35
Resort Hotel,Groups,Corporate,Non Refund,6-12 months,131,131,1.0,23076.0,252.34351145038167,6.969465648854962,0.0,63.57
Resort Hotel,Offline TA/TO,TA/TO,Non Refund,6-12 months,121,120,0.9917355371900827,29931.83,250.03305785123968,8.909090909090908,0.0,63.15
City Hotel,Groups,TA/TO,Non Refund,1-3 months,1215,1215,1.0,314983.0,67.77942386831276,0.20823045267489712,0.0,62.12
Resort Hotel,Groups,Direct,Non Refund,6-12 months,58,56,0.9655172413793104,35067.76,230.8448275862069,0.29310344827586204,0.0,61.17
City Hotel,Offline TA/TO,TA/TO,Non Refund,1-3 months,806,806,1.0,219333.0,56.91563275434243,0.26054590570719605,0.004962779156327543,60.28
City Hotel,Corporate,TA/TO,Non Refund,3-6 months,71,71,1.0,25920.0,131.59154929577466,0.0,0.0,59.69
Resort Hotel,Groups,Direct,Non Refund,3-6 months,172,172,1.0,32023.95,121.48255813953489,0.0,0.0,59.45
City Hotel,Groups,Direct,Non Refund,3-6 months,78,78,1.0,22765.0,109.88461538461539,0.0,0.0,58.93
Resort Hotel,Groups,Corporate,Non Refund,3-6 months,55,55,1.0,10731.95,103.9090909090909,0.0,0.0,58.55
Resort Hotel,Groups,TA/TO,Non Refund,1-3 months,168,168,1.0,34760.3,74.41666666666667,0.011904761904761904,0.0,57.97
Resort Hotel,Online TA,TA/TO,No Deposit,6-12 months,2584,1464,0.56656346749226,1182499.28,244.219040247678,0.039860681114551086,1.0863003095975232,57.57
City Hotel,Offline TA/TO,Corporate,No Deposit,1-3 months,60,60,1.0,7200.0,56.0,0.0,0.0,56.94
City Hotel,Online TA,TA/TO,No Deposit,3-6 months,9406,4049,0.43046991282160324,1845653.3,131.16255581543695,0.010312566446948756,0.8340421007867319,56.76
City Hotel,Groups,TA/TO,Non Refund,1-4 weeks,211,211,1.0,57065.38,23.118483412322274,0.23222748815165878,0.0,56.64
City Hotel,Offline TA/TO,TA/TO,Non Refund,1-4 weeks,207,207,1.0,48046.05,22.903381642512077,0.28019323671497587,0.028985507246376812,56.5
