country,market_segment,customer_type,bookings,cancellation_rate,realized_revenue,adr,average_lead_time,repeat_guest_rate,average_special_requests,average_total_nights,persona_cluster,persona_label,customer_value_score
GBR,Offline TA/TO,Contract,1293,0.0007733952049497294,882124.96,77.55616395978345,169.1879350348028,0.009280742459396751,0.51430781129157,8.823665893271462,2,Long-lead cancellation watchlist,78.62
ESP,Direct,Transient,971,0.08753861997940268,368811.12,129.8455509783728,37.19876416065912,0.021627188465499485,0.6220391349124614,2.990731204943357,0,Value-managed core guests,78.46
GBR,Offline TA/TO,Transient,1516,0.001978891820580475,685207.92,73.47415567282322,114.51451187335093,0.006596306068601583,0.41160949868073876,6.086411609498681,2,Long-lead cancellation watchlist,76.91
FRA,Direct,Transient,914,0.09409190371991247,343714.63,121.71001094091903,52.81509846827134,0.0175054704595186,0.6214442013129103,3.3916849015317285,0,Value-managed core guests,75.81
PRT,Direct,Transient,5295,0.20056657223796034,1413926.31,110.71870632672334,34.72219074598678,0.10349386213408876,0.5633616619452313,2.7501416430594903,4,Niche loyalty opportunity,75.79
IRL,Offline TA/TO,Transient,394,0.0,185083.59,69.3256345177665,114.53807106598985,0.007614213197969543,0.41878172588832485,6.535532994923858,2,Long-lead cancellation watchlist,75.14
DEU,Offline TA/TO,Transient-Party,1308,0.0,317826.71,100.4209250764526,257.7882262996942,0.0,0.48853211009174313,2.496177370030581,3,Premium reliable guests,74.27
FRA,Offline TA/TO,Transient,1343,0.0022338049143708115,433529.27,79.88459419210722,61.812360387192854,0.0014892032762472078,0.20029784065524944,4.10945644080417,3,Premium reliable guests,73.46
GBR,Direct,Transient,764,0.10863874345549739,299447.24,112.82380890052356,81.33376963350786,0.032722513089005235,0.5445026178010471,4.049738219895288,0,Value-managed core guests,73.23
GBR,Groups,Transient-Party,1322,0.009077155824508321,381725.97,67.4102571860817,233.76550680786687,0.006051437216338881,0.1875945537065053,4.493192133131619,2,Long-lead cancellation watchlist,72.81
DEU,Offline TA/TO,Transient,876,0.001141552511415525,328758.09,78.73408675799087,97.21004566210046,0.001141552511415525,0.273972602739726,4.914383561643835,3,Premium reliable guests,71.8
ITA,Groups,Transient-Party,179,0.0,57903.94,105.51837988826816,103.07821229050279,0.0111731843575419,0.40782122905027934,2.9608938547486034,3,Premium reliable guests,71.69
FRA,Online TA,Transient,5864,0.3038881309686221,1716020.73,121.89468110504775,78.52762619372442,0.0018758526603001365,0.9392905866302865,3.6072646657571625,4,Niche loyalty opportunity,69.66
IRL,Direct,Transient,418,0.12679425837320574,199974.18,109.17842105263158,95.53588516746412,0.023923444976076555,0.6004784688995215,5.019138755980861,0,Value-managed core guests,69.61
USA,Direct,Transient,334,0.12874251497005987,109377.44,141.5877245508982,52.91616766467066,0.02694610778443114,0.5568862275449101,2.6377245508982035,0,Value-managed core guests,69.61
DEU,Direct,Transient,364,0.09615384615384616,136846.63,119.44714285714286,75.96703296703296,0.008241758241758242,0.4945054945054945,3.5494505494505493,0,Value-managed core guests,69.13
PRT,Online TA,Transient,10478,0.4665012406947891,1814489.79,111.17129604886429,71.09534262263792,0.03244894063752624,0.8606604313800343,3.467073869058981,4,Niche loyalty opportunity,68.57
ESP,Online TA,Transient,4901,0.3911446643542134,1209388.35,131.24720873291164,58.34707202611712,0.004692919812283207,0.8920628443174863,3.1630279534788817,4,Niche loyalty opportunity,68.51
ITA,Direct,Transient,200,0.075,76514.69,120.78505,62.85,0.035,0.57,3.465,0,Value-managed core guests,68.46
ESP,Offline TA/TO,Transient,648,0.015432098765432098,179429.54,79.09253086419753,41.4537037037037,0.004629629629629629,0.38271604938271603,3.25,3,Premium reliable guests,68.37
DEU,Groups,Transient-Party,554,0.0,125166.47,81.40305054151625,188.26353790613717,0.0,0.1407942238267148,2.949458483754513,3,Premium reliable guests,67.67
DEU,Online TA,Transient,3626,0.31715388858246,970131.12,115.25760617760618,104.08604522890238,0.003309431880860452,0.8651406508549365,3.637065637065637,4,Niche loyalty opportunity,67.64
BEL,Online TA,Transient,1467,0.2876618950238582,435380.68,121.71595092024539,95.32038173142467,0.0027266530334014998,1.030674846625767,3.5589638718473076,0,Value-managed core guests,67.44
BEL,Direct,Transient,252,0.09126984126984126,98491.73,118.09015873015873,83.38888888888889,0.01984126984126984,0.5277777777777778,3.6507936507936507,0,Value-managed core guests,67.22
FRA,Offline TA/TO,Transient-Party,818,0.0024449877750611247,212369.64,87.35388753056235,138.04645476772617,0.0,0.3594132029339853,2.9376528117359415,3,Premium reliable guests,67.02
PRT,Online TA,Transient-Party,736,0.19293478260869565,179563.67,99.75619565217391,75.87635869565217,0.029891304347826088,0.9945652173913043,2.8885869565217392,0,Value-managed core guests,66.46
NLD,Online TA,Transient,1425,0.256140350877193,401429.1,114.06983157894737,80.19929824561403,0.002807017543859649,0.9263157894736842,3.559298245614035,0,Value-managed core guests,66.29
IRL,Online TA,Transient,1926,0.34994807892004154,616947.47,109.49883696780894,111.93042575285565,0.006749740394600207,0.952232606438214,4.678608515057113,0,Value-managed core guests,66.21
GBR,Online TA,Transient,6013,0.36005321802760687,1524010.75,111.95940961250625,102.27357392316647,0.002827207716614003,0.9096956594046233,3.9113587227673374,4,Niche loyalty opportunity,65.84
PRT,Corporate,Transient,3002,0.21085942704863425,236471.73,65.86263157894737,14.573950699533643,0.416055962691539,0.29513657561625584,1.7671552298467688,1,High-volume commercial demand,65.37
USA,Online TA,Transient,1353,0.3296378418329638,269397.69,125.92253510716925,71.79083518107909,0.005173688100517369,0.8529194382852919,2.6925351071692534,0,Value-managed core guests,65.17
BEL,Offline TA/TO,Transient,167,0.005988023952095809,76719.68,88.62287425149701,85.35329341317366,0.005988023952095809,0.4550898203592814,4.9880239520958085,3,Premium reliable guests,64.94
CHE,Direct,Transient,186,0.15591397849462366,87429.87,138.65494623655914,74.70967741935483,0.010752688172043012,0.5698924731182796,3.903225806451613,0,Value-managed core guests,64.83
