column,missing_rate
company,0.943068933746545
agent,0.13686238378423654
country,0.004087444509590418
children,3.350364352123293e-05
arrival_date_month,0.0
arrival_date_week_number,0.0
hotel,0.0
is_canceled,0.0
stays_in_weekend_nights,0.0
arrival_date_day_of_month,0.0
adults,0.0
stays_in_week_nights,0.0
babies,0.0
meal,0.0
lead_time,0.0
arrival_date_year,0.0
distribution_channel,0.0
market_segment,0.0
previous_bookings_not_canceled,0.0
is_repeated_guest,0.0
reserved_room_type,0.0
assigned_room_type,0.0
booking_changes,0.0
previous_cancellations,0.0
deposit_type,0.0
days_in_waiting_list,0.0
customer_type,0.0
adr,0.0
required_car_parking_spaces,0.0
total_of_special_requests,0.0
reservation_status,0.0
reservation_status_date,0.0
