hotel,arrival_year_month,arrival_date,bookings,cancellations,room_nights_requested,room_nights_realized,room_nights_canceled,gross_booking_value,realized_revenue,lost_revenue_estimate,adr,average_lead_time,total_guests,repeat_guest_rate,special_request_rate,cancellation_rate,capacity_room_night_proxy,occupancy_rate_estimate,revenue_opportunity_index,revpar_estimate,year,month,month_name,demand_period,pricing_action,estimated_revenue_upside
City Hotel,2017-05,2017-05-01,4548,2217,13027,6607,6420,1753153.88,875823.4,877330.48,132.13350043975373,116.89028144239226,8532,0.0230870712401055,0.6079595426561126,0.487467018469657,7409.88,0.8916473681085254,0.280898526029812,118.19670493989106,2017,5,May,Peak demand,"Yield up rates, restrict discounts, and tighten cancellation controls",326161.39
Resort Hotel,2017-08,2017-08-01,1800,693,9257,5564,3693,1837393.9,1062553.39,774840.51,202.9039055555556,121.29333333333334,4268,0.0305555555555555,1.1044444444444443,0.385,6127.92,0.9079752999386416,0.2293695240569473,173.39544086737422,2017,8,August,Peak demand,"Yield up rates, restrict discounts, and tighten cancellation controls",291790.06
City Hotel,2017-06,2017-06-01,3964,1807,12171,6405,5766,1591226.44,832355.71,758870.73,129.23996215943492,131.83678102926336,7865,0.0234611503531786,0.5804742684157417,0.4558526740665994,7409.88,0.8643864677970493,0.2828796439245706,112.33052492078144,2017,6,June,Peak demand,"Yield up rates, restrict discounts, and tighten cancellation controls",288981.47
City Hotel,2017-04,2017-04-01,3911,1921,12496,6339,6157,1536614.76,790262.45,746352.31,122.06278956788546,107.0698031194068,8080,0.0107389414472002,0.6238813602659167,0.4911787266683712,7409.88,0.8554794409626066,0.299696733445511,106.64983103640004,2017,4,April,Peak demand,"Yield up rates, restrict discounts, and tighten cancellation controls",284751.94
Resort Hotel,2017-07,2017-07-01,1754,660,9442,5597,3845,1663185.76,946904.24,716281.52,176.11492018244013,126.72006841505132,4132,0.0285062713797035,0.895096921322691,0.3762827822120866,6127.92,0.9133604877348268,0.2251368236892113,154.5229441637619,2017,7,July,Peak demand,"Yield up rates, restrict discounts, and tighten cancellation controls",267529.06
City Hotel,2016-10,2016-10-01,4212,1947,11980,6458,5522,1316370.64,719583.49,596787.15,108.63571937321936,144.68019943019942,8104,0.0230294396961063,0.6253561253561254,0.4622507122507122,7409.88,0.8715390802550108,0.277332418326052,97.11135537957428,2016,10,October,Peak demand,"Yield up rates, restrict discounts, and tighten cancellation controls",227488.97
City Hotel,2017-08,2017-08-01,3123,1121,10625,6571,4054,1468696.46,883900.68,584795.78,139.33416586615434,147.39993595901376,6863,0.0150496317643291,0.8302913864873519,0.3589497278258085,7409.88,0.886788989835193,0.2296769754567668,119.28677387488057,2017,8,August,Peak demand,"Yield up rates, restrict discounts, and tighten cancellation controls",225717.76
Resort Hotel,2016-08,2016-08-01,1685,578,8777,5674,3103,1589257.62,994903.96,594353.66,189.5541068249258,108.87774480712166,3940,0.0124629080118694,0.6729970326409496,0.343026706231454,6127.92,0.925925925925926,0.1997460447534104,162.35589890207444,2016,8,August,Peak demand,"Yield up rates, restrict discounts, and tighten cancellation controls",223511.41
City Hotel,2016-06,2016-06-01,3921,1720,10585,5851,4734,1177674.28,634085.24,543589.04,108.9268987503188,116.88778372864066,7251,0.0153022188217291,0.4613618974751339,0.4386636062229023,7409.88,0.7896214243685458,0.316544062300093,85.572943151576,2016,6,June,High demand,Increase ADR selectively and protect direct booking inventory,220820.88
City Hotel,2017-07,2017-07-01,3556,1324,11445,6861,4584,1454514.29,861190.28,593324.01,125.94447412823396,165.99212598425197,7659,0.0171541057367829,0.750562429696288,0.3723284589426321,7409.88,0.925925925925926,0.2136271279426987,116.22189293213926,2017,7,July,Peak demand,"Yield up rates, restrict discounts, and tighten cancellation controls",220106.52
City Hotel,2016-09,2016-09-01,3868,1567,10977,6407,4570,1314458.01,769699.0,544759.01,118.20176059979316,140.7510341261634,7575,0.0191313340227507,0.6284901758014477,0.40511892450879,7409.88,0.8646563777011234,0.2581401027296372,103.8746916279346,2016,9,September,Peak demand,"Yield up rates, restrict discounts, and tighten cancellation controls",212003.25
City Hotel,2016-04,2016-04-01,3558,1538,10257,5784,4473,1039198.69,578236.36,460962.33,99.59528948847668,90.57560427206296,7021,0.0177065767284991,0.4409780775716694,0.432265317594154,7409.88,0.7805794425820661,0.3168971188158122,78.03586022985527,2016,4,April,High demand,Increase ADR selectively and protect direct booking inventory,190484.21
