hotel,month_name,average_bookings,average_occupancy,average_cancellation_rate,realized_revenue,lost_revenue_estimate,revenue_opportunity_index
City Hotel,January,1865.0,0.4208570179274158,0.380971385934165,527526.9199999999,427726.48,0.4977756298965964
City Hotel,December,2057.0,0.4782803500191636,0.41938269797787586,640473.87,553664.82,0.4813884934764947
City Hotel,November,2168.0,0.5233553039995249,0.34104164690058725,685683.12,480758.3,0.41971662757985007
City Hotel,February,2475.0,0.5902929602098819,0.3840268094102829,767965.97,521292.91,0.401441761768653
City Hotel,July,2690.3333333333335,0.6545315173794988,0.45925451204154416,1683495.38,1159914.23,0.400017228650375
City Hotel,August,2989.0,0.7564225061674413,0.40898612760764724,1974745.29,1313273.63,0.31821463650179616
City Hotel,April,3734.5,0.8180294417723364,0.46172202213126257,1368498.81,1207314.6400000001,0.3082969261306616
City Hotel,June,3942.5,0.8270039460827976,0.44725814014475085,1466440.95,1302459.77,0.29971185311233184
City Hotel,September,3696.0,0.8012275502437287,0.4213449333100136,1358243.97,984321.21,0.298876927669385
City Hotel,October,3797.0,0.8109443067903933,0.42642399598342823,1240953.1400000001,880252.62,0.29232491621888723
City Hotel,May,4110.5,0.8679627740260301,0.4392140428585693,1567756.32,1320855.8599999999,0.2712129387156007
City Hotel,March,3217.0,0.8191765588646509,0.37035846573884196,1096215.92,725138.0700000001,0.27025923723199297
Resort Hotel,January,1095.5,0.4100086163004739,0.14611411923959738,248743.86,68674.11,0.40074618537796325
Resort Hotel,December,1322.5,0.5062076528414209,0.2386791469216033,443136.81000000006,158595.03999999998,0.3824571579181541
Resort Hotel,February,1551.0,0.5707483126411572,0.2561926692303885,378654.74,150138.31,0.3559229571699733
Resort Hotel,November,1217.5,0.5656894998629225,0.1870920170080249,348109.87,83845.28,0.324214291245813
Resort Hotel,April,1804.5,0.7866453870154962,0.2939296451695623,729959.91,403163.98,0.2586378188617225
Resort Hotel,October,1776.5,0.7958654812726015,0.273868288564732,615803.59,272389.16,0.23981563899650055
Resort Hotel,March,1667.0,0.7772621052494157,0.2303749627697566,556506.13,256849.43,0.23900860263719478
Resort Hotel,June,1522.0,0.8864345487539003,0.3256847246601179,1114901.23,612909.6,0.21202789990410031
Resort Hotel,July,1524.3333333333333,0.8873048821351018,0.30831676788598195,2403712.29,1320722.54,0.20459409861889646
Resort Hotel,May,1779.5,0.8753377981435788,0.2880017902071751,825589.87,390413.81,0.20209999183348026
Resort Hotel,August,1631.3333333333333,0.9163522587327076,0.3292618001135838,2909432.08,1692908.4300000002,0.19833621039487806
Resort Hotel,September,1554.0,0.8972049243462709,0.3231932658230994,984877.05,403122.51,0.19682644766001806
