ds,forecast,lower_95,upper_95,model
2017-09-01,6268.269952076964,5886.540765451777,6621.768284420318,Prophet
2017-10-01,6735.540102920103,6374.852885518554,7105.288761346284,Prophet
2017-11-01,4226.886496567736,3880.5518749753346,4592.790058843162,Prophet
2017-12-01,4024.0234342021936,3666.418991680321,4377.719273403952,Prophet
2018-01-01,3580.330956650982,3201.841129066866,3928.621305252042,Prophet
2018-02-01,4613.190623686359,4256.55615349501,5006.067388244102,Prophet
2018-03-01,5763.796529481723,5394.286572680694,6120.036909216905,Prophet
2018-04-01,6075.464364569822,5692.071361408563,6451.743836282202,Prophet
2018-05-01,7161.7256638072895,6768.832100755192,7561.696819523836,Prophet
2018-06-01,5820.151813460128,5433.864028942639,6193.767715686316,Prophet
2018-07-01,4987.195791376685,4590.023814670077,5375.108858243138,Prophet
2018-08-01,5702.566718808683,5264.554975909189,6137.032693248801,Prophet
