hotel,market_segment,distribution_channel,customer_type,lead_time_band,deposit_type,bookings,cancellations,realized_revenue,lost_revenue_estimate,room_nights_realized,adr,average_lead_time,repeat_guest_rate,average_special_requests,cancellation_rate,revenue_per_booking,segment_risk_score
City Hotel,Groups,TA/TO,Transient,12+ months,Non Refund,1405,1405,0.0,195486.19,0,65.00749466192171,464.57722419928825,0.0,0.0,1.0,0.0,78.86
City Hotel,Offline TA/TO,TA/TO,Transient,12+ months,Non Refund,281,281,0.0,48610.0,0,84.30604982206405,428.65836298932385,0.0,0.0,1.0,0.0,75.98
City Hotel,Groups,TA/TO,Transient-Party,12+ months,Non Refund,1,1,0.0,90.0,0,90.0,437.0,0.0,0.0,1.0,0.0,75.76
City Hotel,Groups,TA/TO,Transient,6-12 months,Non Refund,1915,1915,0.0,497640.5,0,93.5537859007833,275.0809399477807,0.0,0.0,1.0,0.0,75.27
Resort Hotel,Groups,TA/TO,Transient,12+ months,Non Refund,97,97,0.0,27039.0,0,66.6340206185567,414.30927835051546,0.0,0.0,1.0,0.0,75.23
City Hotel,Offline TA/TO,TA/TO,Transient,6-12 months,Non Refund,1696,1696,0.0,481572.6,0,98.38242924528302,260.6002358490566,0.0,0.0,1.0,0.0,74.58
City Hotel,Offline TA/TO,TA/TO,Transient-Party,12+ months,Non Refund,1,1,0.0,90.0,0,90.0,394.0,0.0,0.0,1.0,0.0,74.21
City Hotel,Direct,Direct,Transient,12+ months,No Deposit,1,1,0.0,636.0,0,159.0,387.0,0.0,3.0,1.0,0.0,73.97
Resort Hotel,Groups,Direct,Transient,12+ months,Non Refund,20,20,0.0,5280.0,0,66.0,385.0,0.0,0.0,1.0,0.0,73.94
City Hotel,Online TA,TA/TO,Contract,12+ months,No Deposit,1,1,0.0,243.0,0,81.0,380.0,0.0,1.0,1.0,0.0,73.71
City Hotel,Groups,TA/TO,Contract,12+ months,Non Refund,60,60,0.0,7440.0,0,62.0,372.6666666666667,0.0,0.0,1.0,0.0,73.52
City Hotel,Groups,TA/TO,Contract,6-12 months,Non Refund,480,480,0.0,59520.0,0,62.0,323.0,0.0,0.0,1.0,0.0,72.29
City Hotel,Offline TA/TO,TA/TO,Transient-Party,6-12 months,Non Refund,271,270,361.25,50468.0,5,102.2370848708487,315.97047970479707,0.0,0.0,0.996309963099631,1.3330258302583027,71.72
City Hotel,Groups,TA/TO,Transient-Party,6-12 months,Non Refund,516,516,0.0,69516.0,0,62.93023255813954,301.9282945736434,0.0,0.0,1.0,0.0,71.64
City Hotel,Online TA,TA/TO,Transient,6-12 months,Refundable,3,3,0.0,5859.0,0,139.5,315.0,0.0,1.0,1.0,0.0,71.42
City Hotel,Groups,TA/TO,Transient,3-6 months,Non Refund,1669,1669,0.0,519936.14,0,109.60894547633312,137.9754343918514,0.0,0.0,1.0,0.0,70.57
Resort Hotel,Groups,TA/TO,Transient,6-12 months,Non Refund,355,355,0.0,93783.85,0,71.56323943661972,248.27042253521128,0.0,0.0,1.0,0.0,69.96
City Hotel,Groups,TA/TO,Contract,6-12 months,No Deposit,160,160,0.0,19840.0,0,62.0,269.875,0.00625,0.0,1.0,0.0,69.95
City Hotel,Offline TA/TO,TA/TO,Transient,3-6 months,Non Refund,1505,1505,0.0,458792.8,0,105.79873754152824,135.69102990033224,0.0,0.0,1.0,0.0,69.83
Resort Hotel,Online TA,TA/TO,Transient-Party,6-12 months,Non Refund,1,1,0.0,400.5,0,80.1,263.0,0.0,1.0,1.0,0.0,69.49
Resort Hotel,Offline TA/TO,TA/TO,Contract,6-12 months,Refundable,2,2,0.0,1428.14,0,78.23,262.5,0.0,1.0,1.0,0.0,69.48
Resort Hotel,Offline TA/TO,TA/TO,Transient,6-12 months,Non Refund,120,120,0.0,29931.83,0,50.937416666666664,250.49166666666667,0.0,0.0,1.0,0.0,69.36
Resort Hotel,Groups,Corporate,Transient,6-12 months,Non Refund,131,131,0.0,23076.0,0,45.49045801526717,252.34351145038167,0.0,0.0,1.0,0.0,69.35
Resort Hotel,Groups,Direct,Transient,6-12 months,Non Refund,54,54,0.0,34585.66,0,68.38481481481482,231.53703703703704,0.0,0.0,1.0,0.0,68.72
City Hotel,Online TA,TA/TO,Transient,6-12 months,Non Refund,13,13,0.0,4505.0,0,86.63461538461539,232.07692307692307,0.0,0.0,1.0,0.0,68.42
City Hotel,Online TA,GDS,Transient,6-12 months,No Deposit,1,1,0.0,372.0,0,124.0,220.0,0.0,0.0,1.0,0.0,67.94
City Hotel,Corporate,TA/TO,Transient,6-12 months,Non Refund,2,2,0.0,920.0,0,115.0,212.0,0.0,0.0,1.0,0.0,67.66
Resort Hotel,Online TA,TA/TO,Transient,12+ months,No Deposit,9,8,1744.61,7378.4,7,158.29222222222222,382.1111111111111,0.0,0.7777777777777778,0.8888888888888888,193.84555555555553,67.19
City Hotel,Groups,Direct,Transient,6-12 months,Non Refund,19,19,0.0,5060.0,0,128.1578947368421,183.52631578947367,0.0,0.0,1.0,0.0,66.67
