ds,forecast,lower_95,upper_95,model
2017-09-01,1579284.956886408,1523326.1083404887,1635691.272708482,Prophet
2017-10-01,1233607.6732170957,1178981.429023118,1287239.4888862942,Prophet
2017-11-01,687731.3864795582,632847.7763359828,745129.7641927969,Prophet
2017-12-01,699185.6490274165,641267.5569502953,754220.2754417906,Prophet
2018-01-01,504453.19057603896,443814.15192216047,560294.1283443313,Prophet
2018-02-01,716738.8446737508,655415.1717830792,777820.6800657223,Prophet
2018-03-01,958151.6309877278,894852.4046400278,1015402.3676569411,Prophet
2018-04-01,1424948.432219636,1353876.6182787248,1493799.7316122719,Prophet
2018-05-01,1424637.3623432803,1348144.0409596765,1497083.6964461992,Prophet
2018-06-01,1587685.8426186303,1505138.8905312624,1670042.7137761062,Prophet
2018-07-01,1747156.665623691,1652405.7798401495,1846918.6052122684,Prophet
2018-08-01,2153278.0505901095,2033019.6906206869,2276284.5254063313,Prophet
